loss,accuracy,val_loss,val_accuracy
0.02647443301975727,0.5533252954483032,0.009043722413480282,0.5499438643455505
0.006947621703147888,0.6516128778457642,0.005580617114901543,0.7311685085296631
0.005165679845958948,0.7741934657096863,0.004959026351571083,0.8038646578788757
0.004792002495378256,0.7844918370246887,0.004201509524136782,0.8142749667167664
0.00420549139380455,0.8050947785377502,0.0040026879869401455,0.8157030344009399
0.003832961665466428,0.8098664283752441,0.003652028739452362,0.8267654180526733
0.0035963617265224457,0.8198755979537964,0.0042042918503284454,0.8324316143989563
0.0034813701640814543,0.818120539188385,0.0033129716757684946,0.8105077147483826
0.003348574275150895,0.8246318697929382,0.0031705216970294714,0.8327581882476807
0.00316847232170403,0.828220546245575,0.0030544442124664783,0.8380424380302429
