loss,accuracy,mean_io_u_wrapper,dice_coefficient,val_loss,val_accuracy,val_mean_io_u_wrapper,val_dice_coefficient
0.8146464228630066,0.6504132747650146,0.32898885011672974,0.42459896206855774,0.6615910530090332,0.7158063054084778,0.29366612434387207,0.37241804599761963
0.6751859188079834,0.7177771925926208,0.4853034019470215,0.6361732482910156,0.614622950553894,0.7496412396430969,0.3575911521911621,0.4474846422672272
0.6242205500602722,0.7421790361404419,0.5152619481086731,0.6668063402175903,0.5622082352638245,0.7700968384742737,0.38065385818481445,0.46948710083961487
0.588434636592865,0.7563501000404358,0.5329281687736511,0.6824156641960144,0.5524834394454956,0.7746303677558899,0.3923512399196625,0.4854893982410431
0.5506664514541626,0.7711237072944641,0.5524954199790955,0.6989571452140808,0.5546588897705078,0.7680569291114807,0.39259615540504456,0.5064063668251038
0.5275683403015137,0.7800620198249817,0.5674863457679749,0.7111703157424927,0.5176288485527039,0.7863398194313049,0.4354243278503418,0.5565946698188782
0.5178346633911133,0.7842888832092285,0.5732588768005371,0.716334342956543,0.47653624415397644,0.8035712838172913,0.488593727350235,0.6183818578720093
0.49099981784820557,0.7948533892631531,0.5895978808403015,0.7293404936790466,0.44748711585998535,0.8164852261543274,0.5193246603012085,0.6507298350334167
0.4776031970977783,0.8010928630828857,0.5997185111045837,0.7386436462402344,0.444825679063797,0.8180064558982849,0.5260314345359802,0.6586073040962219
0.4649498164653778,0.8079743385314941,0.6112820506095886,0.7479515075683594,0.4390590488910675,0.8225307464599609,0.5274342894554138,0.6595072150230408
0.4526430666446686,0.8134182095527649,0.6209053993225098,0.7562158107757568,0.4471147656440735,0.8230533003807068,0.538476288318634,0.6723881363868713
0.44324618577957153,0.8180687427520752,0.6294865012168884,0.7633647322654724,0.42476916313171387,0.8286280632019043,0.5528022050857544,0.688112199306488
0.42934590578079224,0.8248819708824158,0.6423781514167786,0.7735874652862549,0.43952274322509766,0.8265076279640198,0.5442201495170593,0.6800633072853088
0.41565781831741333,0.8310205340385437,0.6532872915267944,0.7826001644134521,0.40465080738067627,0.8350434303283691,0.5755708813667297,0.7073295712471008
