loss,accuracy,mean_io_u_wrapper_2,dice_coefficient,val_loss,val_accuracy,val_mean_io_u_wrapper_2,val_dice_coefficient
0.4751090705394745,0.8102143406867981,0.6390581727027893,0.7571874260902405,0.24647697806358337,0.9046478271484375,0.7642752528190613,0.8608513474464417
0.32142722606658936,0.8720086216926575,0.7464864253997803,0.8520162105560303,0.2013728767633438,0.9211845993995667,0.8089969754219055,0.8908383846282959
0.2975163757801056,0.8820953965187073,0.7647197842597961,0.8644940257072449,0.2540104389190674,0.8995503783226013,0.7670052647590637,0.8626492619514465
0.2806943953037262,0.888714611530304,0.7767438292503357,0.8723024725914001,0.196724995970726,0.9214449524879456,0.8089123368263245,0.8906700611114502
0.27427536249160767,0.8912891149520874,0.7813486456871033,0.8750825524330139,0.20622320473194122,0.9173019528388977,0.8023512959480286,0.8858985900878906
0.26717373728752136,0.8942846655845642,0.7865940928459167,0.8785617351531982,0.21790625154972076,0.9160681962966919,0.7880690097808838,0.8750207424163818
0.26154807209968567,0.8965630531311035,0.7903127670288086,0.8808494210243225,0.18183617293834686,0.9261650443077087,0.8190364837646484,0.8970460295677185
0.2546675205230713,0.8991502523422241,0.7955887913703918,0.8843382596969604,0.16599705815315247,0.9323201179504395,0.8315293788909912,0.9051065444946289
0.25466227531433105,0.8991081714630127,0.7952352166175842,0.8841618895530701,0.19530178606510162,0.9221670627593994,0.8099349141120911,0.8910503387451172
0.24892093241214752,0.9012402296066284,0.79904705286026,0.8865699768066406,0.1834203004837036,0.9262247681617737,0.8184049725532532,0.8965296745300293
0.242460235953331,0.9039498567581177,0.8040709495544434,0.8897581100463867,0.16970610618591309,0.9315925240516663,0.8296000957489014,0.9038050174713135
0.24189573526382446,0.9042206406593323,0.8045427799224854,0.8899573683738708,0.1826462596654892,0.9261059761047363,0.8150570392608643,0.8946835398674011
0.23947760462760925,0.9049191474914551,0.8056628108024597,0.8906508684158325,0.20117533206939697,0.919731616973877,0.8064574599266052,0.8884592056274414
0.23461724817752838,0.9070042967796326,0.809821605682373,0.8932615518569946,0.1821434050798416,0.9267637729644775,0.8239076137542725,0.9001747965812683
0.23569256067276,0.9065847396850586,0.8086521029472351,0.89249587059021,0.20040389895439148,0.9199529886245728,0.812175989151001,0.8929429054260254
0.23543885350227356,0.9066535830497742,0.8087851405143738,0.8926392793655396,0.1829701066017151,0.9275840520858765,0.8194096684455872,0.8972147107124329
0.23484067618846893,0.9070582985877991,0.8096380233764648,0.8930548429489136,0.1849328577518463,0.9252628684043884,0.8185665011405945,0.8968161940574646
0.2311660349369049,0.9082919359207153,0.8121135830879211,0.8945786356925964,0.18379533290863037,0.9256625175476074,0.8177001476287842,0.8962588310241699
0.22967876493930817,0.9088342189788818,0.8128458857536316,0.8951971530914307,0.17249874770641327,0.9306687712669373,0.8339629173278809,0.9064601063728333
0.23092471063137054,0.9087667465209961,0.8129336833953857,0.8951101899147034,0.1871688812971115,0.9274711012840271,0.8180912137031555,0.8968942761421204
0.24030278623104095,0.9053261876106262,0.8058326244354248,0.8906936645507812,0.17077131569385529,0.931567907333374,0.8334123492240906,0.9063660502433777
0.2283502072095871,0.9095543622970581,0.8142280578613281,0.89573073387146,0.18856826424598694,0.9249218702316284,0.8175999522209167,0.8961037993431091
0.2297268807888031,0.9090046286582947,0.8132837414741516,0.8953772783279419,0.17534349858760834,0.9301668405532837,0.8284360766410828,0.9032318592071533
0.22396576404571533,0.9111651182174683,0.8171373009681702,0.897667646408081,0.18269246816635132,0.9278740286827087,0.8221845626831055,0.8988887667655945
0.22329220175743103,0.9114516973495483,0.8176906108856201,0.8980799913406372,0.171803817152977,0.9313949942588806,0.8329181671142578,0.9057610034942627
0.22445933520793915,0.9112024903297424,0.8172628283500671,0.8978040218353271,0.17119655013084412,0.9319649338722229,0.8323030471801758,0.9049737453460693
0.22023853659629822,0.9126524925231934,0.8198964595794678,0.899448037147522,0.1703822761774063,0.931728720664978,0.8339706063270569,0.9061443209648132
0.21856077015399933,0.9133798480033875,0.8211138844490051,0.9001033306121826,0.16740277409553528,0.9332948923110962,0.8358578085899353,0.9074759483337402
